;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;câmbio automático;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;longitude;latitude;cilindrada
34;Peugeot 307 Hatch. Presence Pack 1.6 16V (flex) 2011;Flex; 26.900,00;2010;153.000;Prata;0;Cocal do Sul;1;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;1;-49.333536;-28.598569;1600.0
35;Fiat Palio Attractive 1.4 8V (Flex) 2013;Flex; 37.990,00;2013;78.000;Branco;0;Campinas;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-47.06595;-22.905346;1400.0
36;Chevrolet Meriva SS 1.8 (Flex) 2008;Flex; 29.900,00;2007;167.546;Cinza;0;São Paulo;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;-46.63952;-23.532905;1800.0
37;Fiat Grand Siena Tetrafuel 1.4 8V 2013;GNV; 34.900,00;2013;110;Branco;0;Porto Alegre;1;1;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;-51.206533;-30.031771;1400.0
38;Chevrolet Classic LS VHC E 1.0 (Flex) 2011;Flex; 26.800,00;2011;132.210;Branco;0;Campo Grande;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-36.792608;-9.955423;1000.0
39;Chevrolet Cobalt LT 1.4 8V (Flex) 2012;Flex; 36.990,00;2012;179.000;Branco;0;Rio Claro;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;-44.141874;-22.720001;1400.0
40;Nissan Kicks 1.6 Sense 2022;Flex; 100.970,00;2022;38.278;Prata;1;Feira de Santana;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;-38.966293;-12.266429;1600.0
41;Citroën C3 Picasso Exclusive 1.6 16V (Flex) 2013;Flex; 38.900,00;2013;74.000;Branco;0;Ponta Grossa;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-50.166787;-25.091622;1600.0
42;Fiat Siena EL 1.0 8V (Flex) 2011;Flex; 29.900,00;2010;99.999;Prata;0;Viamão;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-51.019435;-30.081899;1000.0
43;Renault Logan Expression 1.0 16V (flex) 2015;Flex; 36.800,00;2014;114.622;Prata;0;São Bernardo do Campo;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;-46.564617;-23.691412;1000.0
44;Volkswagen CrossFox 1.6 (Flex) 2011;Flex; 38.900,00;2010;92.956;Prata;0;Curitiba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-49.264622;-25.419547;1600.0
45;Volkswagen Gol 1.0 8V (G4)(Flex)2p 2013;Flex; 25.900,00;2012;84.000;Preto;0;Campo Grande;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-37.310572;-5.8536;1000.0
46;Volkswagen Gol 1.0 2022;Flex; 52.990,00;2021;67.854;Cinza;0;Mossoró;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-37.347446;-5.183737;1000.0
47;Mitsubishi Pajero Sport 2.4 DI-D HPE 4WD 2022;Álcool; 284.990,00;2021;39.359;Cinza;1;São José;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;-48.636607;-27.613577;2400.0
48;Chevrolet Astra Sedan Advantage 2.0 (Flex) 2007;Flex; 26.500,00;2006;176.785;Vermelho;0;Aparecida de Goiânia;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;-49.246856;-16.819804;2000.0
49;Volkswagen Parati 1.6 G4 (Flex) 2013;Flex; 34.900,00;2012;125.000;Preto;0;Gravataí;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-50.986891;-29.941319;1600.0
50;Fiat Palio Fire 1.0 8V (Flex) 4p 2015;Flex; 32.990,00;2014;101.350;Preto;0;São Paulo;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-46.63952;-23.532905;1000.0
51;Volkswagen Fox Prime 1.6 8V (Flex) 2011;Flex; 35.900,00;2010;72.000;Cinza;0;São Paulo;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;-46.63952;-23.532905;1600.0
52;Volkswagen SpaceFox Comfortline 1.6 8V (Flex) 2008;Flex; 27.890,00;2008;164.458;Prata;0;São Paulo;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;-46.63952;-23.532905;1600.0
53;Volkswagen Gol 1.0 Ecomotion(G4) (Flex) 4p 2014;Flex; 35.900,00;2013;120.000;Prata;0;São José dos Campos;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-45.884115;-23.189554;1000.0
54;Ford Fiesta Sedan S 1.0 Rocam (Flex) 2014;Flex; 33.900,00;2014;25.000;Prata;0;Duque de Caxias;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-43.304895;-22.785801;1000.0
55;Fiat Palio Fire 1.0 8V (Flex) 4p 2013;Flex; 26.999,00;2013;110.000;Preto;0;Curitiba;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;-49.264622;-25.419547;1000.0
56;Volkswagen Gol 1.6 (G5) (Flex) 2012;Flex; 34.900,00;2011;124.078;Branco;0;Jaraguá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-49.334428;-15.752948;1600.0
57;Fiat Uno Vivace 1.0 8V (Flex) 4p 2013;Flex; 32.990,00;2012;175.200;Prata;0;Franca;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-47.403861;-20.53523;1000.0
58;Fiat Idea Adventure 1.8 16V E.TorQ (Flex) 2012;Flex; 36.900,00;2011;145.000;Prata;0;Belo Horizonte;1;1;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;-43.926572;-19.910183;1800.0
59;Volkswagen Gol 1.6 VHT City (Flex) 4p 2014;Flex; 38.900,00;2014;83.413;Preto;0;São Paulo;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;-46.63952;-23.532905;1600.0
60;Ford Ka Hatch SE Plus 1.0 (Flex) 2015;Flex; 38.000,00;2014;137.000;Prata;0;São José do Rio Preto;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;-49.375767;-20.811289;1000.0
61;Fiat Mobi 1.0 Like 2021;Flex; 52.010,00;2021;58.855;Branco;0;João Pessoa;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-34.864121;-7.11509;1000.0
62;Citroën C4 GLX 1.6 (flex) 2012;Flex; 29.800,00;2011;175.000;Prata;0;Palhoça;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;-48.669661;-27.645518;1600.0
63;Citroën Xsara Picasso GLX 1.6 16V (flex) 2012;Flex; 27.000,00;2011;169.488;Prata;0;Vila Velha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-40.287458;-20.341705;1600.0
64;Volkswagen Gol Rallye 1.6 VHT (G5) (Flex) 2012;Flex; 36.900,00;2012;135.854;Vermelho;0;Piraquara;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-49.062411;-25.442171;1600.0
65;Chevrolet Classic LS 1.0 VHCE (Flex) 2015;Flex; 34.990,00;2014;300;Preto;0;Dourados;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-54.812043;-22.223099;1000.0
66;Volkswagen Fox 1.0 8V (Flex) 4p 2011;Flex; 33.900,00;2010;124.000;Preto;0;Içara;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;-49.308654;-28.713206;1000.0
67;Chevrolet Classic LS VHC E 1.0 (Flex) 2012;Flex; 28.900,00;2011;234.977;Preto;0;Brasília;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-47.929657;-15.779522;1000.0
68;Nissan Livina S 1.8 16V (flex) (aut) 2014;Flex; 38.900,00;2014;96.063;Verde;1;Osasco;1;0;1;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;-46.791555;-23.53239;1800.0
69;Fiat Siena Fire 1.0 8V (Flex) 2010;Flex; 23.990,00;2009;120.134;Branco;0;Lajeado;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-51.964427;-29.459086;1000.0
70;Ford Fiesta Sedan 1.6 (Flex) 2011;Flex; 33.900,00;2010;168.050;Cinza;0;Cascavel;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-38.241178;-4.129666;1600.0
71;Ford Fiesta Sedan 1.6 Rocam (Flex) 2013;Flex; 35.000,00;2012;98.000;Branco;0;Linhares;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-40.064277;-19.394642;1600.0
72;Ford Fiesta Hatch S Rocam 1.0 (Flex) 2014;Flex; 32.090,00;2013;129.747;Preto;0;Praia Grande;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-46.412057;-24.008378;1000.0
73;Volkswagen SpaceFox Route 1.6 8V (Flex) 2010;Flex; 31.900,00;2009;145.000;Preto;0;Pilar do Sul;0;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;-47.722151;-23.807716;1600.0
74;Renault Clio 1.0 16V (flex) 4p 2012;Flex; 23.900,00;2012;100.000;Branco;0;Porto Alegre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-51.206533;-30.031771;1000.0
75;Fiat Uno Vivace 1.0 8V (Flex) 4p 2012;Flex; 32.000,00;2011;96.000;Cinza;0;São Carlos;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-53.003704;-27.079757;1000.0
76;Fiat Uno Way 1.0 8V (Flex) 4p 2012;Flex; 30.890,00;2011;105.321;Vermelho;0;Campinas;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-47.06595;-22.905346;1000.0
77;Renault Sandero Privilege 1.6 16V (Flex)(aut) 2013;Flex; 33.490,00;2012;90.816;Vermelho;1;São Paulo;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;-46.63952;-23.532905;1600.0
78;Volkswagen Polo Hatch 1.6 VHT Total Flex 2014;Flex; 37.900,00;2013;49.369;Branco;0;Rio de Janeiro;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;-43.200295;-22.912897;1600.0
79;Fiat Palio Attractive 1.0 Evo (Flex) 2015;Flex; 37.900,00;2014;99.434;Branco;0;São José dos Campos;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-45.884115;-23.189554;1000.0
80;Fiat Siena EL 1.0 8V (Flex) 2015;Flex; 35.900,00;2014;110.000;Prata;0;Campo Grande;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-37.310572;-5.8536;1000.0
81;Renault Logan Expression 1.6 8V Hi-Torque (flex) 2011;Flex; 27.490,00;2011;147.000;Preto;0;Campinas;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-47.06595;-22.905346;1600.0
82;Ford EcoSport Ecosport XLT 1.6 (Flex) 2008;Flex; 33.900,00;2008;204.973;Prata;0;Jataí;1;0;1;1;0;1;1;1;0;1;0;1;1;0;1;0;0;1;0;1;1;1;-51.720424;-17.878383;1600.0
83;Fiat Siena EL 1.0 8V (Flex) 2015;Flex; 35.900,00;2014;110.000;Prata;0;Campo Grande;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-36.792608;-9.955423;1000.0
84;Ford Ka Sedan SE Plus 1.5 16v (Flex) 2015;Flex; 38.900,00;2015;67.587;Prata;0;Nova Iguaçu;1;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-43.460325;-22.755635;1500.0
85;Volkswagen Up! 1.0 12v E-Flex take up! 4p 2015;Flex; 38.990,00;2014;38.000;Branco;0;Fortaleza;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-38.542298;-3.716638;1000.0
86;Renault Sandero Expression 1.0 16V (flex) 2014;Flex; 29.900,00;2013;61.000;Prata;0;Nova Iguaçu;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;-43.460325;-22.755635;1000.0
87;Renault Sandero Expression 1.6 8V (flex) 2012;Flex; 29.800,00;2012;221.568;Prata;0;São Bernardo do Campo;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-46.564617;-23.691412;1600.0
88;Fiat Uno Way 1.0 8V (Flex) 4p 2011;Flex; 32.000,00;2011;81.000;Prata;0;Fortaleza;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;-38.542298;-3.716638;1000.0
89;Chevrolet Cobalt LT 1.4 8V (Flex) 2013;Flex; 38.890,00;2012;106.000;Preto;0;Osasco;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;-46.791555;-23.53239;1400.0
90;Volkswagen Gol 1.0 8V (G4)(Flex)4p 2014;Flex; 33.099,00;2014;99.628;Branco;0;São Paulo;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.63952;-23.532905;1000.0
91;Ford Fiesta Sedan 1.6 Rocam (Flex) 2013;Flex; 31.990,00;2013;67.335;Preto;0;Recife;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-34.877065;-8.046658;1600.0
92;Fiat Toro 1.3 T270 Freedom (Aut) 2022;Flex; 127.800,00;2021;25.792;Prata;1;Guarapuava;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;1;0;0;-51.462317;-25.390237;1300.0
93;Fiat 500 Sport 1.4 16V (Dualogic) 2010;Flex; 38.900,00;2009;84.000;Amarelo;1;Florianópolis;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-48.547696;-27.594486;1400.0
94;Volkswagen Fox Plus 1.6 8V (Flex) 2008;Flex; 27.900,00;2007;100.269;Preto;1;São Paulo;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;-46.63952;-23.532905;1600.0
95;Volkswagen Voyage 1.0 TEC City (Flex) 2014;Flex; 38.990,00;2013;128.000;Branco;0;Santa Cruz;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;-36.019297;-6.224752;1000.0
96;Volkswagen Gol 1.0 (G5) (Flex) 2012;Flex; 33.900,00;2011;N/D;Branco;0;Dois Irmãos;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-51.089776;-29.58356;1000.0
97;Fiat Palio Attractive 1.0 Evo (Flex) 2015;Flex; 36.900,00;2015;104.000;Branco;0;Recife;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-34.877065;-8.046658;1000.0
98;Volkswagen SpaceFox Comfortline 1.6 8V (Flex) 2007;Flex; 29.890,00;2006;135.000;Cinza;0;São Paulo;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;-46.63952;-23.532905;1600.0
99;Chevrolet Meriva Maxx 1.8 (Flex) 2008;Flex; 29.900,00;2008;178.052;Cinza;0;Santo André;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;-36.621339;-7.220157;1800.0
100;Peugeot 307 Hatch. Presence 1.6 16V (flex) 2011;Flex; 28.900,00;2011;128.692;Vermelho;0;Porto Alegre;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;-51.206533;-30.031771;1600.0
101;Peugeot 207 Hatch Active 1.4 (Flex) 2014;Flex; 28.890,00;2014;91.300;Branco;0;Curitiba;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-49.264622;-25.419547;1400.0
102;Ford New Fiesta Sedan SE 1.6 (Flex) 2011;Flex; 35.900,00;2011;60.000;Preto;0;São Paulo;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;-46.63952;-23.532905;1600.0
103;Ford Fiesta Hatch S Plus 1.0 RoCam (Flex) 2014;Flex; 33.800,00;2014;117.159;Prata;0;Curitiba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;-49.264622;-25.419547;1000.0
104;Fiat Palio Essence 1.6 16V (Flex) 2014;Flex; 35.990,00;2013;105.084;Preto;1;Belo Horizonte;1;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;1;-43.926572;-19.910183;1600.0
105;Fiat Punto Attractive 1.4 (Flex) 2012;Flex; 34.900,00;2011;97.000;Vermelho;0;Mogi Guaçu;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;-46.9428;-22.367453;1400.0
106;Ford EcoSport Ecosport XLT 1.6 (Flex) 2008;Flex; 31.900,00;2007;137.782;Preto;0;São Bernardo do Campo;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;0;1;1;-46.564617;-23.691412;1600.0
107;Chevrolet Corsa Hatch Maxx 1.4 (Flex) 2010;Flex; 29.900,00;2010;119.650;Prata;0;São Paulo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.63952;-23.532905;1400.0
