;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;câmbio automático;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;longitude;latitude;cilindrada
1352;Renault Clio Authentique 1.0 16V (Flex) 2p 2015;Flex; 25.900,00;2014;86.500;Vermelho;0;São Paulo;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.63952;-23.532905;1000.0
1353;Volkswagen Polo Hatch. 1.6 8V E-Flex (Flex) 2009;Flex; 31.900,00;2009;117.000;Preto;0;São Paulo;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;1;-46.63952;-23.532905;1600.0
1354;Citroën C3 GLX 1.4 8V (flex) 2011;Flex; 28.900,00;2010;3.000;Prata;0;Dois Irmãos;1;1;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;-51.089776;-29.58356;1400.0
1355;Volkswagen Fox Route 1.0 8V (Flex) 2009;Flex; 28.990,00;2009;133.000;Prata;0;Campinas;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-47.06595;-22.905346;1000.0
1356;Toyota Etios Sedan XS 1.5 (Flex) 2013;Flex; 33.900,00;2013;130.000;Prata;0;Rio de Janeiro;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;-43.200295;-22.912897;1500.0
1357;Volkswagen Gol 1.0 TEC Seleção (Flex) 2014;Flex; 36.770,00;2014;130.780;Preto;0;Contagem;1;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;-44.05392;-19.932079;1000.0
1358;Peugeot 207 Hatch XR 1.4 8V (flex) 4p 2013;Flex; 25.900,00;2012;125.084;Prata;0;Santa Maria;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-47.9872688;-16.0036155;1400.0
1359;Nissan Sentra S 2.0 16V (aut) 2008;Gasolina; 30.900,00;2007;N/D;Prata;1;Jacareí;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;-45.965814;-23.29829;2000.0
1360;Citroën C4 Picasso 2.0 16V La Luna (Aut) 2012;Gasolina; 37.900,00;2011;122.000;Preto;1;Curitiba;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;1;-49.264622;-25.419547;2000.0
1361;Ford Fiesta Hatch 1.0 (Flex) 2012;Flex; 29.900,00;2011;150.000;Preto;0;Gravataí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50.986891;-29.941319;1000.0
1362;Volkswagen Fox 1.0 8V (Flex) 4p 2010;Flex; 29.700,00;2009;162.000;Prata;0;Osasco;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;-46.791555;-23.53239;1000.0
1363;Chevrolet Celta LT 1.0 (Flex) 2012;Flex; 31.990,00;2012;143.897;Vermelho;0;Santo André;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-36.621339;-7.220157;1000.0
1364;Volkswagen Fox 1.0 VHT (Flex) 4p 2013;Flex; 35.900,00;2012;147.000;Prata;0;Belo Horizonte;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-43.926572;-19.910183;1000.0
1365;Peugeot 408 Allure 2.0 16V (aut) (Flex) 2012;Flex; 32.990,00;2011;161.000;Vermelho;1;Campinas;1;1;1;1;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;-47.06595;-22.905346;2000.0
1366;Fiat Argo 1.0 Drive 2022;Flex; 64.270,00;2021;43.930;Prata;0;Ponta Grossa;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;-50.166787;-25.091622;1000.0
1367;Ford Fiesta Hatch 1.0 (Flex) 2012;Flex; 26.900,00;2011;124.624;Preto;0;São Paulo;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;-46.63952;-23.532905;1000.0
1368;Volkswagen Gol 1.6 (Flex) 2013;Flex; 38.900,00;2012;69.000;Vermelho;0;Belém;0;0;0;1;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;-48.489756;-1.455396;1600.0
1369;Hyundai Tucson 1.6 T-GDI GLS 2022;Gasolina; 139.510,00;2021;51.336;Branco;1;Cuiabá;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;-56.097397;-15.600979;1600.0
1370;Peugeot 208 Active 1.5 8V (Flex) 2015;Flex; 36.900,00;2014;133.012;Branco;0;João Pessoa;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;-34.864121;-7.11509;1500.0
1371;Volkswagen Gol 1.0 TEC Trendline (Flex) 4p 2015;Flex; 35.900,00;2014;120.375;Branco;0;Mossoró;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-37.347446;-5.183737;1000.0
1372;Fiat Palio Weekend Trekking 1.8 8V (Flex) 2010;Flex; 31.900,00;2010;239.000;Branco;0;Sorocaba;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-47.445073;-23.496886;1800.0
1373;Fiat Mobi Evo Like 1.0 (Flex) 2017;Flex; 37.600,00;2017;58.054;Branco;0;Nova Iguaçu;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-43.460325;-22.755635;1000.0
1374;Volkswagen Gol 1.6 VHT City (Flex) 4p 2013;Flex; 36.990,00;2012;110.000;Branco;0;Mogi Guaçu;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-46.9428;-22.367453;1600.0
1375;Chevrolet Meriva Expression 1.8 (Flex) (easytronic) 2010;Flex; 26.900,00;2009;155.000;Cinza;1;São Paulo;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;-46.63952;-23.532905;1800.0
1376;Fiat Palio ELX 1.4 (Flex) 2008;Flex; 29.900,00;2008;157.000;Cinza;0;São Paulo;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-46.63952;-23.532905;1400.0
1377;Citroën C3 GLX 1.4 8V (flex) 2010;Flex; 26.800,00;2009;96.000;Cinza;0;Guarulhos;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;-46.533347;-23.453758;1400.0
1378;Fiat Palio ELX 1.4 (Flex) 2008;Flex; 29.900,00;2007;227.912;Preto;0;São Paulo;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;-46.63952;-23.532905;1400.0
1379;Volkswagen Voyage Comfortline 1.6 (Flex) 2013;Flex; 38.890,00;2012;127.945;Preto;0;Guarulhos;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;-46.533347;-23.453758;1600.0
1380;Fiat Punto Attractive 1.4 (Flex) 2011;Flex; 29.900,00;2010;120.000;Prata;0;São José dos Pinhais;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;-49.203097;-25.531343;1400.0
1381;Volkswagen Gol 1.0 (G5) (Flex) 2009;Flex; 26.900,00;2008;128.000;Prata;0;Três Lagoas;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-51.700731;-20.784853;1000.0
1382;Citroën C4 GLX 1.6 (flex) 2012;Flex; 29.900,00;2011;97.612;Preto;0;Curitiba;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;-49.264622;-25.419547;1600.0
1383;Ford Ka 1.0 (Flex) 2013;Flex; 28.900,00;2012;132.000;Vermelho;0;Iracemápolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-47.522963;-22.583234;1000.0
1384;Chevrolet Celta LT 1.0 (Flex) 2012;Flex; 29.900,00;2011;96.547;Prata;0;Parobé;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;-50.83118;-29.624257;1000.0
1385;Volkswagen Fox 1.0 TEC (Flex) 2p 2014;Flex; 38.900,00;2014;77.000;Branco;0;Mauá;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-46.461263;-23.66767;1000.0
1386;Volkswagen Gol 1.0 TEC City (Flex) 2p 2015;Flex; 38.900,00;2014;105.000;Prata;0;Cuiabá;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-56.097397;-15.600979;1000.0
1387;Ford Courier L 1.6 (Flex) 2012;Flex; 35.000,00;2011;240.000;Vermelho;0;Araucária;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-49.404748;-25.585939;1600.0
1388;Ford Fiesta Hatch S Rocam 1.0 (Flex) 2014;Flex; 34.900,00;2014;109.833;Prata;0;Campinas;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;-47.06595;-22.905346;1000.0
1389;Renault Sandero Expression Easy-r 1.6 8V (Flex) 2015;Flex; 38.900,00;2014;135.000;Branco;1;Curitiba;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;-49.264622;-25.419547;1600.0
1390;Kia Picanto 1.0 (Flex) J318 2014;Flex; 38.900,00;2013;86.000;Branco;0;São Paulo;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;-46.63952;-23.532905;1000.0
1391;Fiat Argo 1.0 Drive 2022;Flex; 60.990,00;2021;70.994;Branco;0;Sorocaba;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;-47.445073;-23.496886;1000.0
1392;Volkswagen Gol 1.0 TEC Trendline (Flex) 4p 2016;Flex; 37.990,00;2015;75.000;Branco;0;Recife;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-34.877065;-8.046658;1000.0
1393;Nissan March 1.0 16V (Flex) 2014;Flex; 36.890,00;2013;118.000;Prata;0;Osasco;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.791555;-23.53239;1000.0
1394;Ford Fiesta Hatch 1.6 (Flex) 2012;Flex; 28.900,00;2011;120.000;Preto;0;Brasília;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-47.929657;-15.779522;1600.0
1395;Renault Kangoo Express 1.6 16V Com Porta Lateral(Flex) 2012;Flex; 33.890,00;2012;89.000;Amarelo;0;Santo André;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-36.621339;-7.220157;1600.0
1396;Ford Fiesta Hatch 1.6 (Flex) 2009;Flex; 26.900,00;2009;160.000;Preto;0;São Carlos;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-53.003704;-27.079757;1600.0
1397;Chevrolet Celta LT 1.0 (Flex) 2014;Flex; 32.900,00;2013;102.857;Vermelho;0;Santo André;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;-36.621339;-7.220157;1000.0
1398;Fiat Siena Fire 1.0 8V (Flex) 2012;Flex; 28.900,00;2011;115.000;Vermelho;0;Joinville;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-48.848675;-26.304497;1000.0
1399;Chevrolet Celta LS 1.0 (Flex) 2p 2012;Flex; 22.900,00;2012;98.836;Vermelho;0;Rio Branco do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-49.311546;-25.189189;1000.0
1400;Nissan March 1.6 16V SV (Flex) 2014;Flex; 37.790,00;2013;157.000;Preto;0;Valinhos;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;-46.997367;-22.969805;1600.0
1401;Ford Fiesta Hatch 1.0 (Flex) 2011;Flex; 26.990,00;2010;107.000;Prata;0;Curitiba;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-49.264622;-25.419547;1000.0
1402;Chevrolet Vectra Elegance 2.0 (Flex) 2009;GNV; 35.900,00;2009;189.900;Cinza;0;São José;1;0;1;1;0;1;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;-48.636607;-27.613577;2000.0
1403;Nissan Versa 1.6 16V SV 2013;Flex; 38.900,00;2012;196.000;Cinza;0;Bauru;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;-49.087142;-22.324569;1600.0
1404;Fiat Grand Siena Attractive 1.4 8V (Flex) 2014;Flex; 38.900,00;2013;145.579;Prata;0;Carapicuíba;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-46.840676;-23.523471;1400.0
1405;Volkswagen Voyage 1.0 Total Flex 2013;Flex; 36.900,00;2013;300;Branco;0;Colombo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-49.22616;-25.292487;1000.0
1406;Fiat Palio Fire 1.0 8V (Flex) 2p 2013;Flex; 25.900,00;2012;134.000;Prata;0;Jacareí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-45.965814;-23.29829;1000.0
1407;Renault Sandero Privilège 1.6 8V Hi-Torque (flex) 2010;Flex; 30.000,00;2009;92.200;Prata;0;Suzano;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;1;0;1;-46.311181;-23.544828;1600.0
1408;Volkswagen Gol 1.0 (G5) (Flex) 2010;Flex; 29.900,00;2010;135.000;Preto;0;Itápolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-48.81491;-21.594224;1000.0
1409;Ford Fiesta Sedan 1.6 (Flex) 2011;Flex; 33.900,00;2010;168.050;Cinza;0;Cascavel;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-53.459005;-24.957301;1600.0
1410;Chevrolet Celta LS 1.0 (Flex) 4p 2013;Flex; 28.900,00;2013;98.000;Branco;0;Sorocaba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-47.445073;-23.496886;1000.0
1411;Volkswagen Gol Power 1.6 (G4) (Flex) 2008;Flex; 27.900,00;2007;132.276;Preto;1;Santo André;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;-46.543154;-23.67373;1600.0
1412;Chevrolet Celta LT 1.0 (Flex) 2013;Flex; 31.990,00;2012;126.000;Prata;0;Francisco Morato;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;-46.744781;-23.279248;1000.0
1413;Citroën C3 Exclusive 1.6 16V (Flex)(aut) 2011;Flex; 32.990,00;2011;126;Prata;1;Campinas;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;-47.06595;-22.905346;1600.0
1414;Ford EcoSport Ecosport XLT 2.0 16V (Flex) (Aut) 2009;Flex; 36.990,00;2009;88.000;Prata;1;Campinas;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;-47.06595;-22.905346;2000.0
1415;Chevrolet Corsa Hatch Maxx 1.4 (Flex) 2012;Flex; 31.990,00;2012;150.000;Preto;0;Curitiba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-49.264622;-25.419547;1400.0
1416;Ford Fiesta Hatch Rocam 1.6 (Flex) 2013;Flex; 34.900,00;2012;81.110;Preto;0;Curitiba;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;-49.264622;-25.419547;1600.0
1417;Volkswagen Fox 1.0 8V (Flex) 4p 2011;Flex; 32.900,00;2010;149.122;Preto;0;Ponta Grossa;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-50.166787;-25.091622;1000.0
1418;Citroën C4 Picasso 2.0 16V (aut) 2012;Flex; 33.900,00;2011;124.000;Preto;1;Curitiba;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-49.264622;-25.419547;2000.0
1419;Ford Fiesta Hatch Rocam 1.0 (Flex) 2013;Flex; 27.900,00;2012;152.297;Prata;0;Cuiabá;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-56.097397;-15.600979;1000.0
1420;Renault Sandero Authentique 1.0 16V (flex) 2013;Flex; 29.990,00;2013;110.000;Preto;0;Cuiabá;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-56.097397;-15.600979;1000.0
1421;Volkswagen Gol 1.0 8V (G4)(Flex)4p 2013;Flex; 33.900,00;2013;175.435;Prata;0;Campinas;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-47.06595;-22.905346;1000.0
1422;Volkswagen Parati Track Field 1.6 MI (Flex) 2006;Flex; 28.900,00;2006;215.560;Preto;0;Matão;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;-48.363968;-21.602511;1600.0
1423;Ford Fiesta Sedan Class 1.6 (Flex) 2009;Flex; 27.900,00;2008;103.809;Preto;0;Osório;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-50.266713;-29.888089;1600.0
1424;Nissan March 1.0 16V (Flex) 2012;Flex; 26.900,00;2011;218.300;Preto;0;São Bonifácio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-48.932608;-27.900907;1000.0
1425;Ford Ka 1.0 (Flex) 2013;Flex; 27.900,00;2013;92.213;Branco;0;São José dos Campos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-45.884115;-23.189554;1000.0
1426;Renault Sandero Expression 1.6 8V (flex) 2011;Flex; 29.800,00;2010;116.250;Prata;0;Sorocaba;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-47.445073;-23.496886;1600.0
1427;Chevrolet Meriva Premium 1.8 (Flex) (easytronic) 2010;Flex; 29.900,00;2010;197.000;Cinza;1;Guarulhos;1;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;-46.533347;-23.453758;1800.0
1428;Volkswagen Fox Plus 1.6 8V (Flex) 2009;Flex; 31.900,00;2008;136.900;Prata;0;Mogi das Cruzes;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;-46.18541;-23.52082;1600.0
1429;Fiat Strada Working 1.4 (Flex) 2011;Flex; 34.900,00;2010;129.362;Vermelho;0;Cascavel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-38.241178;-4.129666;1400.0
1430;Nissan March 1.0 16V (Flex) 2014;Flex; 34.990,00;2014;76.000;Cinza;0;Belém;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-48.489756;-1.455396;1000.0
1431;Volkswagen Fox Plus 1.6 8V (Flex) 2006;Flex; 28.900,00;2005;140.000;Prata;0;Cascavel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-38.241178;-4.129666;1600.0
1432;Fiat Uno Vivace 1.0 8V (Flex) 4p 2012;Flex; 27.900,00;2011;102.000;Prata;0;Praia Grande;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-49.952503;-29.191846;1000.0
1433;Citroën C3 Exclusive 1.4 8V (flex) 2010;Flex; 25.900,00;2009;143.000;Vermelho;0;Guarulhos;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;-46.533347;-23.453758;1400.0
1434;Citroën C4 Cactus 1.6 Feel (Aut) 2022;Flex; 86.580,00;2022;47.312;Branco;1;Piracicaba;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;-47.647612;-22.733801;1600.0
1435;Chevrolet Prisma Maxx 1.4 (Flex) 2011;Flex; 29.990,00;2010;140.000;Preto;0;São Bernardo do Campo;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-46.564617;-23.691412;1400.0
1436;Ford EcoSport Ecosport XLT 2.0 16V (Flex) 2008;Gasolina; 28.900,00;2008;170.000;Prata;1;Araranguá;1;0;0;1;0;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1;1;-49.491809;-28.935615;2000.0
1437;Ford New Fiesta Sedan SE 1.6 (Flex) 2013;Flex; 33.900,00;2013;140.600;Prata;0;Catanduva;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-48.977015;-21.131381;1600.0
1438;Ford New Fiesta Hatch New Fiesta SE 1.6 16V 2014;Flex; 35.990,00;2014;142.813;Preto;0;Atibaia;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;1;-46.556262;-23.117059;1600.0
1439;Citroën Aircross GLX 1.6 16V (flex) 2013;Flex; 36.990,00;2012;134.100;Prata;0;Porto Alegre;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-51.206533;-30.031771;1600.0
1440;Ford Fiesta Hatch SE 1.0 RoCam (Flex) 2014;Flex; 29.800,00;2014;129.000;Vermelho;0;Osasco;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-46.791555;-23.53239;1000.0
1441;Fiat Palio ELX 1.0 (Flex) 4p 2011;Flex; 27.990,00;2010;150.000;Vermelho;0;Curitiba;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-49.264622;-25.419547;1000.0
1442;Ford Fiesta Sedan 1.6 Rocam (Flex) 2013;Flex; 33.900,00;2012;96.000;Prata;0;São Paulo;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-46.63952;-23.532905;1600.0
1443;Volkswagen Gol 1.0 TEC Trendline (Flex) 4p 2015;Flex; 35.900,00;2014;120.375;Branco;0;Mossoró;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-37.347446;-5.183737;1000.0
1444;Nissan Tiida SL 1.8 (flex) 2012;Flex; 38.890,00;2011;127.000;Preto;0;São Paulo;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;0;1;1;-46.63952;-23.532905;1800.0
1445;Renault Sandero Privilège 1.6 8V Hi-Torque (flex) 2012;Flex; 32.700,00;2011;89.000;Preto;0;Rio de Janeiro;1;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;-43.200295;-22.912897;1600.0
1446;Renault Sandero Privilège 1.6 8V Hi-Torque (flex) 2011;Flex; 29.900,00;2011;176.937;Vermelho;0;Toledo;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;-53.741177;-24.724641;1600.0
1447;Fiat Uno Way 1.0 8V (Flex) 4p 2015;Flex; 37.990,00;2015;130.299;Cinza;0;Belo Horizonte;1;1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;-43.926572;-19.910183;1000.0
1448;Fiat Palio Essence 1.6 16V (Flex) 2012;Flex; 33.890,00;2012;138.000;Prata;0;Santo André;0;1;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;-36.621339;-7.220157;1600.0
1449;Fiat Siena EL 1.0 8V (Flex) 2014;Flex; 35.900,00;2013;154.597;Prata;0;São Paulo;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-46.63952;-23.532905;1000.0
1450;Volkswagen Polo Sedan 1.6 8V (Flex) 2008;Flex; 30.900,00;2007;147.654;Branco;0;Fazenda Rio Grande;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-49.30731;-25.662354;1600.0
1451;Chevrolet Celta LT 1.0 (Flex) 2014;Flex; 34.900,00;2013;104.000;Preto;0;Atibaia;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-46.556262;-23.117059;1000.0
1452;Nissan Kicks 1.6 Sense 2022;Flex; 100.970,00;2022;37.264;Prata;1;Recife;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;-34.877065;-8.046658;1600.0
1453;Ford Ka 1.0 (Flex) 2011;Flex; 22.900,00;2011;119.700;Vermelho;0;Tijucas;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-48.632221;-27.235425;1000.0
1454;Fiat Uno Way 1.0 8V (Flex) 4p 2013;Flex; 32.500,00;2012;101.700;Bege;0;Franca;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;-47.403861;-20.53523;1000.0
1455;Volkswagen Fox 1.6 VHT Prime I-Motion (Flex) 2012;Flex; 36.900,00;2011;99.644;Branco;1;Palhoça;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;-48.669661;-27.645518;1600.0
1456;Ford Fiesta Hatch 1.0 (Flex) 2012;Flex; 28.900,00;2011;128.700;Prata;0;Conselheiro Lafaiete;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-43.784609;-20.663445;1000.0
1457;Honda Fit EX 1.5 16V (aut) 2008;Gasolina; 38.000,00;2007;100.000;Vermelho;1;Santos;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;-46.335042;-23.953543;1500.0
1458;Volkswagen Fox 1.6 VHT (Flex) 2013;Flex; 37.900,00;2012;150.000;Vermelho;0;São Vicente;1;0;1;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;-46.388333;-23.957353;1600.0
1459;Ford Ka 1.0 (Flex) 2013;Flex; 24.900,00;2012;88.000;Branco;0;Cascavel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-53.459005;-24.957301;1000.0
1460;Volkswagen Gol 1.0 (G5) (Flex) 2013;Flex; 36.990,00;2012;100.000;Branco;0;São José dos Campos;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;-45.884115;-23.189554;1000.0
1461;Peugeot 207 Hatch XR 1.4 8V (flex) 4p 2013;Flex; 25.000,00;2013;111.111;Cinza;0;Londrina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-51.1691;-23.303975;1400.0
1462;Renault Sandero Authentique 1.0 16V (flex) 2014;Flex; 32.900,00;2013;103.000;Branco;0;Curitiba;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;-49.264622;-25.419547;1000.0
1463;Ford EcoSport Ecosport XLT 2.0 16V (Flex) (Aut) 2011;Flex; 38.900,00;2010;80.000;Prata;1;Jundiaí;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-46.897358;-23.185218;2000.0
